Score,Country or region
7.769,Finland
7.6,Denmark
7.553999999999999,Norway
7.494,Iceland
7.4879999999999995,Netherlands
7.48,Switzerland
7.343,Sweden
7.307,New Zealand
7.278,Canada
7.246,Austria
7.228,Australia
7.167000000000001,Costa Rica
7.138999999999999,Israel
7.09,Luxembourg
7.053999999999999,United Kingdom
7.021,Ireland
6.985,Germany
6.922999999999999,Belgium
6.892,United States
6.852,Czech Republic
6.825,United Arab Emirates
6.726,Malta
6.595,Mexico
6.5920000000000005,France
6.446000000000001,Taiwan
6.444,Chile
6.436,Guatemala
6.375,Saudi Arabia
6.374,Qatar
6.354,Spain
6.321000000000001,Panama
6.3,Brazil
6.292999999999999,Uruguay
6.2620000000000005,Singapore
6.252999999999999,El Salvador
6.223,Italy
6.199,Bahrain
6.1979999999999995,Slovakia
6.192,Trinidad & Tobago
6.182,Poland
6.1739999999999995,Uzbekistan
6.149,Lithuania
6.125,Colombia
6.117999999999999,Slovenia
6.105,Nicaragua
6.1,Kosovo
6.086,Argentina
6.07,Romania
6.046,Cyprus
6.028,Ecuador
6.021,Kuwait
6.007999999999999,Thailand
5.94,Latvia
5.895,South Korea
5.893,Estonia
5.89,Jamaica
5.888,Mauritius
5.886,Japan
5.86,Honduras
5.809,Kazakhstan
5.779,Bolivia
5.757999999999999,Hungary
5.742999999999999,Paraguay
5.718,Northern Cyprus
5.697,Peru
5.693,Portugal
5.653,Pakistan
5.648,Russia
5.631,Philippines
5.603,Serbia
5.529,Moldova
5.525,Libya
5.523,Montenegro
5.4670000000000005,Tajikistan
5.432,Croatia
5.43,Hong Kong
5.425,Dominican Republic
5.386,Bosnia and Herzegovina
5.372999999999999,Turkey
5.3389999999999995,Malaysia
5.3229999999999995,Belarus
5.287000000000001,Greece
5.285,Mongolia
5.274,North Macedonia
5.265,Nigeria
5.261,Kyrgyzstan
5.247000000000001,Turkmenistan
5.211,Algeria
5.207999999999999,Morocco
5.207999999999999,Azerbaijan
5.197,Lebanon
5.192,Indonesia
5.191,China
5.175,Vietnam
5.082,Bhutan
5.044,Cameroon
5.011,Bulgaria
4.996,Ghana
4.944,Ivory Coast
4.913,Nepal
4.906000000000001,Jordan
4.883,Benin
4.812,Congo (Brazzaville)
4.7989999999999995,Gabon
4.796,Laos
4.7219999999999995,South Africa
4.718999999999999,Albania
4.707,Venezuela
4.7,Cambodia
4.696000000000001,Palestinian Territories
4.681,Senegal
4.668,Somalia
4.638999999999999,Namibia
4.628,Niger
4.587,Burkina Faso
4.559,Armenia
4.548,Iran
4.534,Guinea
4.519,Georgia
4.516,Gambia
4.5089999999999995,Kenya
4.49,Mauritania
4.466,Mozambique
4.461,Tunisia
4.456,Bangladesh
4.437,Iraq
4.418,Congo (Kinshasa)
4.39,Mali
4.374,Sierra Leone
4.3660000000000005,Sri Lanka
4.36,Myanmar
4.35,Chad
4.332,Ukraine
4.2860000000000005,Ethiopia
4.212,Swaziland
4.189,Uganda
4.166,Egypt
4.107,Zambia
4.085,Togo
4.015,India
3.975,Liberia
3.9730000000000003,Comoros
3.9330000000000003,Madagascar
3.802,Lesotho
3.775,Burundi
3.6630000000000003,Zimbabwe
3.597,Haiti
3.488,Botswana
3.4619999999999997,Syria
3.41,Malawi
3.38,Yemen
3.3339999999999996,Rwanda
3.2310000000000003,Tanzania
3.2030000000000003,Afghanistan
3.083,Central African Republic
2.853,South Sudan
2.853,Afghanistan
2.853,Afghanistan
2.853,Afghanistan
2.853,Afghanistan
